,continued_claims_monthly
1984-11-30,2584250.0
1984-12-31,2547000.0
1985-01-31,2552250.0
1985-02-28,2623500.0
1985-03-31,2564400.0
1985-04-30,2578750.0
1985-05-31,2560750.0
1985-06-30,2551800.0
1985-07-31,2542500.0
1985-08-31,2562600.0
1985-09-30,2580500.0
1985-10-31,2631750.0
1985-11-30,2625200.0
1985-12-31,2643750.0
1986-01-31,2604000.0
1986-02-28,2568500.0
1986-03-31,2593600.0
1986-04-30,2608750.0
1986-05-31,2671000.0
1986-06-30,2635000.0
1986-07-31,2608000.0
1986-08-31,2655600.0
1986-09-30,2707000.0
1986-10-31,2718750.0
1986-11-30,2630800.0
1986-12-31,2571250.0
1987-01-31,2512400.0
1987-02-28,2472000.0
1987-03-31,2429250.0
1987-04-30,2411000.0
1987-05-31,2324000.0
1987-06-30,2279000.0
1987-07-31,2196500.0
1987-08-31,2211600.0
1987-09-30,2196750.0
1987-10-31,2046800.0
1987-11-30,2082250.0
1987-12-31,2115500.0
1988-01-31,2188000.0
1988-02-29,2141500.0
1988-03-31,2112000.0
1988-04-30,2081200.0
1988-05-31,2067750.0
1988-06-30,2043000.0
1988-07-31,2065200.0
1988-08-31,2088000.0
1988-09-30,2075750.0
1988-10-31,2015600.0
1988-11-30,1978250.0
1988-12-31,2045200.0
1989-01-31,2061000.0
1989-02-28,2113750.0
1989-03-31,2131500.0
1989-04-30,2098800.0
1989-05-31,2093500.0
1989-06-30,2122750.0
1989-07-31,2179400.0
1989-08-31,2207250.0
1989-09-30,2208800.0
1989-10-31,2281000.0
1989-11-30,2285000.0
1989-12-31,2285000.0
1990-01-31,2354750.0
1990-02-28,2354000.0
1990-03-31,2363800.0
1990-04-30,2380250.0
1990-05-31,2390000.0
1990-06-30,2423800.0
1990-07-31,2471750.0
1990-08-31,2509250.0
1990-09-30,2595400.0
1990-10-31,2720750.0
1990-11-30,2888250.0
1990-12-31,2968200.0
1991-01-31,3088000.0
1991-02-28,3262750.0
1991-03-31,3419000.0
1991-04-30,3483250.0
1991-05-31,3486750.0
1991-06-30,3426800.0
1991-07-31,3307500.0
1991-08-31,3291800.0
1991-09-30,3296250.0
1991-10-31,3311000.0
1991-11-30,3310600.0
1991-12-31,3349250.0
1992-01-31,3353250.0
1992-02-29,3314600.0
1992-03-31,3312000.0
1992-04-30,3343750.0
1992-05-31,3344800.0
1992-06-30,3289750.0
1992-07-31,3217750.0
1992-08-31,3250200.0
1992-09-30,3204250.0
1992-10-31,3062400.0
1992-11-30,2949000.0
1992-12-31,2823750.0
1993-01-31,2713000.0
1993-02-28,2641000.0
1993-03-31,2687500.0
1993-04-30,2775500.0
1993-05-31,2778400.0
1993-06-30,2812000.0
1993-07-31,2782800.0
